order_id,product_id,quantity,subtotal,customer_id,order_date,order_status,payment_method,name,age,gender,city,signup_date,product_name,category,price,stock_quantity
1,13,4,11380,137,2022-01-15,Returned,UPI,Customer_137,40,Male,Delhi,2021-03-12,Product_13,Electronics,2845,26
5,13,4,11380,1,2022-12-15,Delivered,COD,Customer_1,56,Male,Chennai,2021-06-01,Product_13,Electronics,2845,26
392,13,4,11380,40,2022-07-27,Returned,Wallet,Customer_40,42,Female,Delhi,2021-03-16,Product_13,Electronics,2845,26
260,13,3,8535,93,2022-02-15,Returned,Wallet,Customer_93,52,Male,Mumbai,2021-01-25,Product_13,Electronics,2845,26
483,13,2,5690,146,2022-01-02,Delivered,UPI,Customer_146,45,Male,Delhi,2021-07-01,Product_13,Electronics,2845,26
42,13,4,11380,63,2022-09-29,Delivered,Wallet,Customer_63,27,Female,Delhi,2021-04-09,Product_13,Electronics,2845,26
46,13,3,8535,194,2023-01-12,Delivered,Wallet,Customer_194,43,Female,Delhi,2021-05-23,Product_13,Electronics,2845,26
56,13,4,11380,135,2022-01-03,Delivered,Wallet,Customer_135,47,Female,Bangalore,2021-03-27,Product_13,Electronics,2845,26
394,13,2,5690,164,2022-03-13,Delivered,UPI,Customer_164,56,Female,Mumbai,2021-01-01,Product_13,Electronics,2845,26
373,13,4,11380,173,2023-03-17,Delivered,UPI,Customer_173,32,Female,Delhi,2021-06-15,Product_13,Electronics,2845,26
141,13,2,5690,51,2022-08-15,Delivered,COD,Customer_51,34,Male,Bangalore,2021-04-09,Product_13,Electronics,2845,26
159,13,3,8535,55,2022-01-29,Returned,Wallet,Customer_55,19,Female,Mumbai,2021-05-31,Product_13,Electronics,2845,26
176,13,1,2845,75,2023-04-08,Cancelled,Wallet,Customer_75,41,Female,Mumbai,2021-06-26,Product_13,Electronics,2845,26
395,13,4,11380,113,2022-03-01,Delivered,Credit Card,Customer_113,52,Male,Mumbai,2021-01-09,Product_13,Electronics,2845,26
1,1,1,2803,137,2022-01-15,Returned,UPI,Customer_137,40,Male,Delhi,2021-03-12,Product_1,Electronics,2803,88
283,1,3,8409,165,2023-02-16,Delivered,Credit Card,Customer_165,23,Male,Bangalore,2021-05-11,Product_1,Electronics,2803,88
220,1,2,5606,123,2022-06-18,Delivered,Wallet,Customer_123,56,Male,Delhi,2021-06-27,Product_1,Electronics,2803,88
27,1,1,2803,89,2023-02-20,Delivered,Wallet,Customer_89,28,Female,Bangalore,2021-04-27,Product_1,Electronics,2803,88
48,1,2,5606,104,2023-02-18,Delivered,Wallet,Customer_104,51,Female,Delhi,2021-07-05,Product_1,Electronics,2803,88
315,1,3,8409,166,2022-06-13,Delivered,Wallet,Customer_166,25,Female,Chennai,2021-04-02,Product_1,Electronics,2803,88
413,1,4,11212,194,2022-01-24,Delivered,Wallet,Customer_194,43,Female,Delhi,2021-05-23,Product_1,Electronics,2803,88
439,1,1,2803,74,2023-01-30,Delivered,UPI,Customer_74,35,Male,Chennai,2021-01-19,Product_1,Electronics,2803,88
488,1,3,8409,159,2023-02-18,Processing,UPI,Customer_159,18,Male,Chennai,2021-07-19,Product_1,Electronics,2803,88
109,1,3,8409,148,2022-11-26,Delivered,Credit Card,Customer_148,59,Male,Mumbai,2021-04-01,Product_1,Electronics,2803,88
306,1,4,11212,148,2023-04-19,Returned,UPI,Customer_148,59,Male,Mumbai,2021-04-01,Product_1,Electronics,2803,88
136,1,4,11212,106,2022-03-03,Returned,Wallet,Customer_106,40,Male,Delhi,2021-05-22,Product_1,Electronics,2803,88
256,1,4,11212,55,2022-10-22,Delivered,Credit Card,Customer_55,19,Female,Mumbai,2021-05-31,Product_1,Electronics,2803,88
185,1,1,2803,187,2022-02-06,Cancelled,Wallet,Customer_187,40,Male,Mumbai,2021-05-27,Product_1,Electronics,2803,88
429,1,1,2803,102,2022-01-09,Delivered,Wallet,Customer_102,25,Female,Bangalore,2021-06-30,Product_1,Electronics,2803,88
